Main Label,Sub Label,Sub Group,Words
ศิลปะการแสดงและมหรสพ,ท่วงท่าและดนตรี,ลีลาและการเคลื่อนไหว,"กระทบไม้, กระบวนท่ารำ"
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,ร่องรอยและยุคสมัย,เมืองและโบราณสถาน,กรุงเทพมหานคร
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,กลุ่มชนและเชื้อชาติ,กลุ่มชน
ศิลปะการแสดงและมหรสพ,ประเภทการแสดงและบทเพลง,ดนตรีและบทเพลง,"การดีด, การตีกลอง"
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,การทำมาหากินและหัตถกรรม,การไถ
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,เทพ เทวดา และสิ่งศักดิ์สิทธิ์,กินรี
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,วัฒนธรรมและภาษา,กินเนสส์บุ๊ค
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,วัตถุและของมีค่า,กุณฑล
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,ยักษ์และอสูร,กุมภกรรณ
สังคม ประเพณี และวิถีชีวิต,ประเพณี พิธีกรรม และความเชื่อ,พิธีการและเทศกาล,ขอขมา
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,สงครามและการต่อสู้,"ขัดตาทัพ, ขับไล่"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,ยักษ์และอสูร,"ขีดขิน, ชามพูวราช"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,กษัตริย์และตัวละครหลัก,ขุนแผน
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,อาวุธและของวิเศษ,ข่ายเพชร
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,เวทมนตร์และอุบาย,จำกาย
ศิลปะการแสดงและมหรสพ,ประเภทการแสดงและบทเพลง,นาฏศิลป์และละครรำ,ฉุยฉาย
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,สันทนาการและการละเล่น,งานรื่นเริง
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,คุณธรรมและความสัมพันธ์,"ขั้นพื้นฐาน, ความเคารพ"
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,อารมณ์และสภาวะ,"ความรัก, ความว่องไว, ความสง่างาม, ความห่วงใย"
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,ความเรียบง่าย,ความเรียบง่าย
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,มรดกและสัญลักษณ์ประจำชาติ,มรดกทางวัฒนธรรม,"งานประติมากรรม, จิตรกรรม"
...,...,...,...
...,...,...,...
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,เทพ เทวดา และสิ่งศักดิ์สิทธิ์,"พระคเณศ, พระอิศวร"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,กษัตริย์และตัวละครหลัก,พระลักษมณ์
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,ยักษ์และอสูร,พิเภก
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,อาวุธและของวิเศษ,"พรหมาสตร์, พระสังข์"
สังคม ประเพณี และวิถีชีวิต,ประเพณี พิธีกรรม และความเชื่อ,พิธีการและเทศกาล,พิธีทางศาสนา
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,กลุ่มชนและเชื้อชาติ,พื้นบ้านภาคใต้
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,อารมณ์และสภาวะ,ผูกพัน
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,ธรรมชาติและสิ่งแวดล้อม,"ฝั่งน้ำ, ฟองน้ำ"
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,วัตถุและของมีค่า,พระพุทธรูป
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,สถาบันและบุคคลสำคัญ,พระมหากษัตริย์และราชวงศ์,พระญาติ
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,สถาบันและบุคคลสำคัญ,ราชสำนักและขุนนาง,"พญาผานอง, พระยา, พระไวย"
ศิลปะการแสดงและมหรสพ,ประเภทการแสดงและบทเพลง,นาฏศิลป์และละครรำ,ระบำมาตรฐาน
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,สงครามและการต่อสู้,ฟาดฟัน
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,ยักษ์และอสูร,"ย่านาง, รัชฎา, รามสูร"
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,กลุ่มชนและเชื้อชาติ,"ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ"
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,วัฒนธรรมและภาษา,มลายู
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,ธรรมชาติและสิ่งแวดล้อม,"ภูเขา, มหาสมุทร"
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,อารมณ์และสภาวะ,รำลึก
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,สีและรูปลักษณ์,ฟันปลา
สังคม ประเพณี และวิถีชีวิต,ประเพณี พิธีกรรม และความเชื่อ,พิธีการและเทศกาล,ยอพระกลิ่น
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,สถาบันและบุคคลสำคัญ,ราชสำนักและขุนนาง,มเหสี
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,ร่องรอยและยุคสมัย,เมืองและโบราณสถาน,มุกดาหาร
ศิลปะการแสดงและมหรสพ,ประเภทการแสดงและบทเพลง,นาฏศิลป์และละครรำ,รำเดี่ยว
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,เทพ เทวดา และสิ่งศักดิ์สิทธิ์,ฤาษี
ศิลปะการแสดงและมหรสพ,ประเภทการแสดงและบทเพลง,นาฏศิลป์และละครรำ,ละครดึกดำบรรพ์
ศิลปะการแสดงและมหรสพ,ประเภทการแสดงและบทเพลง,นาฏศิลป์และละครรำ,ละครใน
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,การทำมาหากินและหัตถกรรม,ลายเส้น
ศิลปะการแสดงและมหรสพ,ประเภทการแสดงและบทเพลง,ดนตรีและบทเพลง,ลำเพลิน
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,กลุ่มชนและเชื้อชาติ,ล้านนา
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,ตัวละครฝ่ายหญิงและบริวาร,วันทอง
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,การทำมาหากินและหัตถกรรม,วาดภาพ
ศิลปะการแสดงและมหรสพ,ท่วงท่าและดนตรี,เครื่องดนตรีและอุปกรณ์ประกอบ,วิชนี
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,สันทนาการและการละเล่น,ศิลปะป้องกันตัว
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,สงครามและการต่อสู้,สงคราม
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,สงครามและการต่อสู้,สมรภูมิ
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,ร่องรอยและยุคสมัย,ยุคสมัยและอาณาจักร,สมัยศรีวิชัย
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,อารมณ์และสภาวะ,สร้างสรรค์
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,คุณธรรมและความสัมพันธ์,สวามี
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,สงครามและการต่อสู้,สังหาร
ศิลปะการแสดงและมหรสพ,องค์ประกอบละครเวที,บุคลากรและบทบาท,สายสืบ
สังคม ประเพณี และวิถีชีวิต,ประเพณี พิธีกรรม และความเชื่อ,ความเชื่อและค่านิยม,สิริมงคล
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,สีและรูปลักษณ์,สีน้ำเงิน
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,สีและรูปลักษณ์,สีแดง
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,กลุ่มชนและเชื้อชาติ,สี่ภาค
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,กลุ่มชนและเชื้อชาติ,สุรินทร์
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,ตัวละครฝ่ายหญิงและบริวาร,หญิงสาว
ศิลปะการแสดงและมหรสพ,ประเภทการแสดงและบทเพลง,นาฏศิลป์และละครรำ,หนังใหญ่
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,วานรและทหารเอก,หนุมาน
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,คุณธรรมและความสัมพันธ์,หล่อเลี้ยง
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,เทพ เทวดา และสิ่งศักดิ์สิทธิ์,องค์ปะตาระกาหลา
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,เทพ เทวดา และสิ่งศักดิ์สิทธิ์,อวตาร
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,สถาบันและบุคคลสำคัญ,พระมหากษัตริย์และราชวงศ์,อาณาประชาราษฎร์
สังคม ประเพณี และวิถีชีวิต,ปฏิสัมพันธ์และธรรมชาติ,คุณธรรมและความสัมพันธ์,อาสา
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,สถาบันและบุคคลสำคัญ,ราชสำนักและขุนนาง,อุปราช
ศิลปะการแสดงและมหรสพ,ประเภทการแสดงและบทเพลง,ดนตรีและบทเพลง,"เพลงคืนเดือนหงาย, เพลงงามแสงเดือน, เพลงชาวไทย, เพลงมอญดูดาว"
ศิลปะการแสดงและมหรสพ,ท่วงท่าและดนตรี,เครื่องดนตรีและอุปกรณ์ประกอบ,"เกราะลอ, เครื่องแต่งกาย"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,เทพ เทวดา และสิ่งศักดิ์สิทธิ์,"เทพเจ้า, เทวดา"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,ยักษ์และอสูร,อเนก
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,กษัตริย์และตัวละครหลัก,เจ้าเซ็น
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,การเดินทางและสถานที่,"เขาสัตภัณฑ์, เขาอังกาศ, เขาไกลลาศ"
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,อาวุธและของวิเศษ,เขี้ยวแก้ว
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,กลุ่มชนและเชื้อชาติ,เชื้อชาติ
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,สันทนาการและการละเล่น,เต้นสาก
ศิลปะการแสดงและมหรสพ,ประเภทการแสดงและบทเพลง,ดนตรีและบทเพลง,เพลงรำซิมารำ
ศิลปะการแสดงและมหรสพ,ท่วงท่าและดนตรี,เครื่องดนตรีและอุปกรณ์ประกอบ,โปงลาง
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,เทพ เทวดา และสิ่งศักดิ์สิทธิ์,เมขลา
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,ตัวละครฝ่ายหญิงและบริวาร,โอดิสสี
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,การเดินทางและสถานที่,เมืองชมพู
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,เวทมนตร์และอุบาย,แปลงกาย
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,อาวุธและของวิเศษ,แว่นแก้วสุรกานต์
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,กลุ่มชนและเชื้อชาติ,"ไทภูเขา, ไทยดุสิต, ไทยทรงดำ, ไทยรามัญ"
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,การทำมาหากินและหัตถกรรม,ใบชา
สังคม ประเพณี และวิถีชีวิต,กลุ่มชาติพันธุ์และการดำรงชีพ,สันทนาการและการละเล่น,แม่ไม้มวย
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,ร่องรอยและยุคสมัย,เมืองและโบราณสถาน,เมืองหลวง
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,มรดกและสัญลักษณ์ประจำชาติ,มรดกทางวัฒนธรรม,โบราณวัตถุ
