Main Label,Sub Label,Sub Group,Words
...,...,...,...
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,มรดกและสัญลักษณ์ประจำชาติ,ธรรมเนียมและเครื่องยศ,"ฉลองพระองค์, ทับหลัง, พระเมรุ, เกียรติยศ, เครื่องแบบ, แต่งกายยืนเครื่องพระ, ไทยจักรี"
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,มรดกและสัญลักษณ์ประจำชาติ,มรดกทางวัฒนธรรม,"กรมศิลปากร, งานประติมากรรม, จิตรกรรม, ธงไทย, ปูนปั้น, พระนิพนธ์, ภาพจำหลัก, ภาพจิตรกรรมฝาผนัง, มรดกภูมิปัญญาทางวัฒนธรรม, ยูเนสโก, ลิลิตพระลอ, ศิลปินแห่งชาติ, หน้าบัน, หลักฐาน, หล่อสำริด, โบราณวัตถุ, ไทยบรมพิมาน"
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,ร่องรอยและยุคสมัย,ยุคสมัยและอาณาจักร,"กรุงรัตนโกสินทร์, พุทธศตวรรษ, สมัยทวารวดี, สมัยลพบุรี, สมัยศรีวิชัย, สมัยสุโขทัย, สมัยโบราณ, อาณาจักร"
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,ร่องรอยและยุคสมัย,เมืองและโบราณสถาน,"กรุงเทพมหานคร, กาญจนบุรี, จังหวัด, ชุมพร, นครปฐม, นครพนม, นครราชสีมา, นครศรีธรรมราช, บุรีรัมย์, ประเทศ, ปราสาทพนมรุ้ง, ปราสาทพระขรรค์, ปราสาทหินพิมาย, ปราสาทเมืองสิงห์, พระราชวังบวรสถานมงคล, พระลาน, พระอุโบสถ, มุกดาหาร, สกลนคร, อยุธยา, เชียงใหม่, เมืองหลวง, แม่ฮ่องสอน, โบราณสถาน"
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,สถาบันและบุคคลสำคัญ,พระมหากษัตริย์และราชวงศ์,"พระญาติ, พระบรมราชชนนีพับปีหลวง, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, พระราชธิดา, พระเจ้าชัยวรมัน, พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์, สมมุติเทพ, อาณาประชาราษฎร์, อินทราภิเษก, เจ้าดารารัศมี, ไทยจักรพรรดิ์"
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,สถาบันและบุคคลสำคัญ,ราชสำนักและขุนนาง,"ข้าหลวง, ดำรงตำแหน่ง, นางใน, นายแก้ว, ผู้ครองนคร, พญาผานอง, พระชายา, พระตำหนัก, พระยา, พระไวย, พลับพลา, มเหสี, ราชสำนัก, วังหน้า, หลักราชการ, อุปราช, เจ้าพระยา, เจ้าเมือง, ไพร่พล"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนมนุษย์,ตัวละครฝ่ายหญิงและบริวาร,นางสีดา
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,กษัตริย์และตัวละครหลัก,"การุณราช, ขุนช้าง, ขุนแผน, ท้าวพิชัยพิษณุกร, บุตรชาย, บุรุษ, พระราม, พระลอ, พระลักษมณ์, พระสวามี, สังข์ทอง, อิเหนา, อุณรุท, เจ้าเงาะ, เจ้าเซ็น, เชษฐา, โอรส"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,ตัวละครฝ่ายหญิงและบริวาร,"ดวงแก้ว, ตารี, นนทก, นางพญาคำปิน, นางรื่น, นางสวาหะ, นางอัปสราบายน, นางโรย, นายขวัญ, น้อยใจยา, บริวาร, ผู้หญิง, พระแพง, มารีศ, รจนา, วันทอง, สุพรรณมัจฉา, หญิงสาว, อนุชา, อุษา, เจ้าหญิง, โอดิสสี"
