model,group,coherence,size
GPT,ฉากและเหตุการณ์สำคัญ,0.313956618309021,18
GPT,ธรรมชาติและสิ่งแวดล้อม,0.3454988896846771,14
GPT,วานรและทหารเอก,0.3066795766353607,10
GPT,ดนตรีและบทเพลง,0.3823261857032776,17
GPT,ยักษ์และอสูร,0.3339287042617798,12
GPT,กษัตริย์และตัวละครหลัก,0.31115105748176575,28
GPT,กลุ่มชนและเชื้อชาติ,0.3425265848636627,15
GPT,ตัวละครฝ่ายหญิงและบริวาร,0.3472689092159271,22
GPT,เทพ เทวดา และสิ่งศักดิ์สิทธิ์,0.36326614022254944,21
GPT,การเดินทางและสถานที่,0.34992045164108276,19
GPT,พิธีการและเทศกาล,0.3478468954563141,11
GPT,นาฏศิลป์และละครรำ,0.4127645194530487,11
GPT,มรดกทางวัฒนธรรม,0.253945529460907,9
GPT,ยุคสมัยและอาณาจักร,0.39618784189224243,5
GPT,วัตถุและของมีค่า,0.38069379329681396,11
GPT,คุณธรรมและความสัมพันธ์,0.3822571337223053,8
GPT,สงครามและการต่อสู้,0.3356946110725403,19
GPT,อาวุธและของวิเศษ,0.3128829896450043,11
GPT,เมืองและโบราณสถาน,0.3331504464149475,21
GPT,เทคนิคและฉาก,0.3077720105648041,4
GPT,การทำมาหากินและหัตถกรรม,0.4351111948490143,11
GPT,สีและรูปลักษณ์,0.3038581609725952,6
GPT,ราชสำนักและขุนนาง,0.3519689738750458,6
GPT,บุคลากรและบทบาท,0.4763779640197754,3
GPT,เวทมนตร์และอุบาย,0.31288379430770874,17
GPT,เครื่องดนตรีและอุปกรณ์ประกอบ,0.37082695960998535,14
GPT,ลีลาและการเคลื่อนไหว,0.3098340630531311,17
GPT,อารมณ์และสภาวะ,0.3623792231082916,5
GPT,ความเชื่อและค่านิยม,0.26606935262680054,5
GPT,ธรรมเนียมและเครื่องยศ,0.3918763995170593,5
GPT,วัฒนธรรมและภาษา,0.38267892599105835,6
GPT,พระมหากษัตริย์และราชวงศ์,0.433699369430542,8
Qwen,ลีลาและการเคลื่อนไหว,0.36851343512535095,6
Qwen,ดนตรีและบทเพลง,0.24534094333648682,4
Qwen,ตัวละครฝ่ายหญิงและบริวาร,0.5462748408317566,3
Qwen,ยักษ์และอสูร,0.23982489109039307,5
