word,cluster_label,stopword_type,reason
ชาวเขา,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
การละเล่น,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
พระราชพิธี,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
ความประทับใจ,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความรู้สึก/คุณค่า
ศิลปหัตถกรรม,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
บุคคล,3,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
สัตว์น้ำ,3,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
ของที่ระลึก,3,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
โลดโผน,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่า/ความคิดเห็น
ความบันเทิง,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดนามธรรม
สนุกสนาน,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความรู้สึก/คุณค่า
ดนตรีพื้นบ้าน,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำพื้นฐานในโดเมน ทำให้จำแนก
สิ่งศักดิ์สิทธิ์,0,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดความเชื่อ
เจ้าที่เจ้าทาง,0,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดความเชื่อ
มูลเหตุ,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดนามธรรม
มีแบบแผน,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงการประเมินค่า
แนวความคิด,2,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไปใช้เป็นหมวดหมู่
เริงใจ,2,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความรู้สึก
Examples,3,"Abstract/Evaluative: terms expressing concepts, feelings, beliefs, or opinions.","""ความสุข"", ""ความเชื่อ"", ""ความสำคัญ"", ""งดงาม"", ""สวยงาม"", ""ยอดเยี่ยม"""
Examples,3,Domain-Specific Overuse: technical terms in the domain that are too frequent and don't help in discrimination.,"""ศิลปะ"", ""วัฒนธรรม"", ""การแสดง"", ""ประเพณี"", ""นาฏศิลป์"""
Umbrella Term,0,Definitions,"broad terms, e.g., ประเทศ (country), สถานที่ (place), กิจกรรม (activity)."
Abstract/Evaluative,0,Definitions,"words expressing abstract concepts, feelings, beliefs, or evaluations."
Domain-Specific Overuse,0,Definitions,words that are too frequent in the domain and don't help in discrimination.
Redundant/Synonym,0,Definitions,words that are synonyms. We have to check within the same cluster? But note: the example didn't have any.
ภาษา,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้ได้หลากหลายบริบท
ข้าศึก,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ไม่ชี้เฉพาะเจาะจง
ก้อนหิน,1,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
มนุษยชาติ,1,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ครอบคลุมกว้าง
ความเข้มแข็ง,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงสภาพ/คุณค่าเชิงนามธรรม
ชั้นเชิง,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดเชิงเทคนิคนามธรรม
ภูมิปัญญา,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดเชิงความรู้
อัญมณี,2,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้เป็นหมวดหมู่
สวยงาม,2,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงคุณค่า/ความคิดเห็น
ร่างกาย,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้ได้หลายบริบท
เครื่องประดับ,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้ได้หลายบริบท
ร่มพระบารมี,0,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงแนวคิดเชิงนามธรรม
พาหนะ,1,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป ใช้ได้หลายบริบท
