word,cluster_label,cluster_size
เจ้าหญิง,1,223
เชษฐา,1,223
อินทราภิเษก,3,214
จับนาง,3,214
ขุนช้าง,3,214
ศรนาคบาศ,3,214
อุบาย,3,214
ตารีบุหงา,3,214
ปรศุราม,3,214
เพลงกลม,1,223
สีทอง,2,198
นครพนม,3,214
หญิงสาว,1,223
ชุมนุม,2,198
ไทยจิตรลดา,1,223
อนุชา,1,223
ตัวต่อตัว,0,265
อิเหนา,2,198
พลับพลา,0,265
ผีภู,3,214
สุครีพ,1,223
พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์,0,265
สมัยลพบุรี,0,265
ต้นรัง,0,265
สำเภา,3,214
นายขวัญ,0,265
ไส้กะลา,0,265
มารดา,0,265
มรกต,3,214
พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว,0,265
นนทก,1,223
มังกรกัณฐ์,1,223
ฮินดู,1,223
รับอาสา,1,223
อสูร,2,198
สังข์ทอง,0,265
เทพบุตร,0,265
บุหรงซีงอ,2,198
ทิศตะวันตก,0,265
เขาอังกาศ,1,223
แหลมมลายู,1,223
พระพี่เลี้ยง,0,265
ดวงแก้ว,0,265
สกลนคร,2,198
มุสลิม,3,214
ชาวบ้าน,3,214
พระศิวะ,2,198
กรุงลงกา,2,198
ต่อสู้,2,198
ทับหลัง,0,265
เกียรติศักดิ์ไทย,3,214
โรงละครแห่งชาติ,2,198
การเดินทาง,2,198
ทศกัณฐ์,0,265
ก้อนหิน,1,223
เพลงดวงจันทร์ขวัญฟ้า,2,198
หอกโมกขศักดิ์,2,198
รูปทอง,0,265
พระจันทร์,0,265
นางสีดา,0,265
ผ้าไหม,3,214
พระลาน,0,265
อัญมณี,2,198
ข้าศึก,0,265
ชั้นเชิง,3,214
เจ้าดารารัศมี,0,265
พระราชวังบวรสถานมงคล,0,265
กระทุ้ง,2,198
ซุกซน,2,198
ปารวตี,2,198
อุณรุท,1,223
หางนกยูง,0,265
ค้าขาย,3,214
