Main Label,Sub Label,Sub Group,Words
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,มรดกและสัญลักษณ์ประจำชาติ,ธรรมเนียมและเครื่องยศ,"ขันดอก, ฉลองพระองค์, ทับหลัง, ธงไทย, พระเมรุ"
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,มรดกและสัญลักษณ์ประจำชาติ,มรดกทางวัฒนธรรม,"กินเนสส์บุ๊ค, จารึก, ปูนปั้น, ภาพจิตรกรรมฝาผนัง, ยูเนสโก, วาดรูป, เกียรติศักดิ์ไทย, แมนสรวง, โรงละครแห่งชาติ"
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,ร่องรอยและยุคสมัย,ยุคสมัยและอาณาจักร,"พุทธศตวรรษ, สมัยทวารวดี, สมัยลพบุรี, สมัยสุโขทัย, อยุธยา"
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,ร่องรอยและยุคสมัย,เมืองและโบราณสถาน,"กวางทอง, กาฬสินธุ์, ชุมพร, นครปฐม, นครพนม, นครศรีธรรมราช, บุรีรัมย์, ปราสาทพนมรุ้ง, ปราสาทพระขรรค์, ปราสาทหินพิมาย, ปราสาทเมืองสิงห์, พระตำหนัก, พระราชวังบวรสถานมงคล, พระลาน, ภาพจำหลัก, มุกดาหาร, หน้าบัน, เชียงใหม่, เทือกเขาภูพาน, เมืองขีดขิน, แม่ฮ่องสอน"
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,สถาบันและบุคคลสำคัญ,พระมหากษัตริย์และราชวงศ์,"พระนิพนธ์, พระบรมราชชนนีพับปีหลวง, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, พระราชธิดา, พระเจ้าชัยวรมัน, ไทยจักรพรรดิ์, ไทยบรมพิมาน"
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,สถาบันและบุคคลสำคัญ,ราชสำนักและขุนนาง,"ข้าหลวง, ดำรงตำแหน่ง, พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์, อุปราช, เจ้าดารารัศมี, เจ้าพระยา"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,กษัตริย์และตัวละครหลัก,"กาลสูร, ขุนช้าง, ขุนแผน, ท้าวพิชัยพิษณุกร, ท้าวลัสเตียน, นายขวัญ, นายแก้ว, นิลพาหุ, พญาผานอง, พระราม, พระลอ, พระลักษมณ์, พระสวามี, พระแพง, พระไวย, พลายชุมพล, มารีศ, วันทอง, วิรุญจำบัง, ศุภลักษณ์, สังข์ทอง, อนุชา, อิเหนา, อุณรุท, เจ้าเงาะ, เจ้าเซ็น, เชษฐา, ไทยจักรี"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,ตัวละครฝ่ายหญิงและบริวาร,"นางพญาคำปิน, นางรื่น, นางสีดา, นางอัปสราบายน, นางโรย, นางใน, น้องสาว, น้อยใจยา, บุหรงซีงอ, พระชายา, พระพี่เลี้ยง, พระเพื่อน, มารดา, ยอพระกลิ่น, ย่านาง, รจนา, ศูรปนขา, สำมนักขา, สุพรรณมัจฉา, หญิงสาว, อุษา, เจ้าหญิง"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,ยักษ์และอสูร,"กากนาสูร, กุมภกรรณ, ทศกัณฐ์, ท้าวสัทธาสูร, นนทก, มัยราพณ์, ยักษิณี, รามสูร, สัทธาสูร, อสูร, อินทรชิต, เบญกาย"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,วานรและทหารเอก,"ทหารเอก, พลลิง, พาลี, มังกรกัณฐ์, วานร, วานรินทร์, สุครีพ, หนุมาน, องคต, ไพร่พล"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,เทพ เทวดา และสิ่งศักดิ์สิทธิ์,"กินรี, ช้างเอราวัณ, นางฟ้า, นางสวาหะ, ปรศุราม, ปารวตี, ผีภู, พรหมาสตร์, พระคเณศ, พระนารายณ์, พระพรหม, พระพาย, พระศิวะ, พระอินทร์, พระอิศวร, อวตาร, เทพธิดา, เทพบุตร, เทพเจ้า, เทวดา, เมขลา"
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,การเดินทางและสถานที่,"กรุงลงกา, การเดินทาง, จองถนน, ชามพูวราช, ดาวดึงส์, ทิพยวิมาน, ทิศตะวันตก, ปราสาทพระขรรค์, ลอยน้ำ, สกลนคร, สระอโนดาต, สำเภา, เขาสัตภัณฑ์, เขาอังกาศ, เขาไกรลาส, เขาไกลลาศ, เชียงใหม่, เทือกเขาภูพาน, เมืองขีดขิน, เมืองชมพู, แม่น้ำโขง, แม่ฮ่องสอน, แหลมมลายู, ไหล่เขา"
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,คำบอกเล่า,"คำบอกเล่า, ตำนาน"
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,ฉากและเหตุการณ์สำคัญ,"กลางคืน, การขึ้นลอย, การเกี้ยวพาราสี, การให้กำเนิด, งานรื่นเริง, งานแต่งงาน, จุดไฟ, ดินดาล, ลิลิตพระลอ, สิ้นชีวิต, หน่อไม้, หยอกล้อ, เทพนิยาย, เป็นครั้งแรก, เล่นน้ำ, แตกทัพ, โอดิสสี, ไฟไหม้"
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,สงครามและการต่อสู้,"กลยุทธ, กองไฟ, การยุติ, การรบ, ขัดตาทัพ, ขี่ม้า, ข้าศึก, จัดทัพ, จับนาง, ตัวต่อตัว, ต่อสู้, ถอยทัพ, ปกป้อง, รับอาสา, สมรภูมิ, สังหาร, สิบแปดมงกุฎ, ออกรบ, แก้แค้น"
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,อาวุธและของวิเศษ,"ข่ายเพชร, ข่ายเหล็ก, น้ำมันยาง, มณีพิชัย, ศรนาคบาศ, ศรพาลจันทร์, หอกโมกขศักดิ์, เกราะลอ, เขี้ยวแก้ว, แว่นแก้วสุรกานต์, โกเมน"
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,อุปสรรค,อุปสรรค
