"ลำดับ","ชื่อชุดการแสดง","ผลการตัดคำ"
"1","กรุงเทพ","เป็น | การแสดง | ที่ | ได้ | แนวคิด | มาจาก | ชื่อ | เต็ม | เมืองหลวง | ของ | ประเทศไทย | คือ | กรุงเทพมหานคร |   | ที่ | ได้รับ | การ | บันทึก | จาก | กินเนสส์บุ๊ค | ว่า | เป็น | ชื่อ | เมือง | ที่ | มี | ความ | ยาว | ที่สุด | ใน | โลก |   | ความหมาย | โดยรวม |   | หมายถึง | เมือง | อัน | ยิ่งใหญ่ | ที่ | ถูก | สรรค์สร้าง | โดย | เหล่า | เทพ |   | กระบวนท่ารำ | สื่อ | ถึง | การร่ายรำ | ของ | เหล่า | เทวดา | นางฟ้า |   | นอกจากนี้ | ยัง | ผสมผสาน | การ | เชิด | หนังใหญ่ | ที่ | ออกแบบ | วาดภาพ | สถานที่สำคัญ | ของ | กรุงเทพ | ประกอบ | การแสดง"
"2","กีปัสเรนัง","เป็น | การแสดง | ที่ | นำ | แนวคิด | มาจาก | ประเพณี | แห่ | นก | ทาง | ภาคใต้ | ของ | ไทย | โดยเฉพาะ | จังหวัด | ปัตตานี |   | ที่ | มี | ความสวยงาม | ของ | พัดเรนัง |   | ปรากฏ | อยู่ | ใน | ขบวนแห่ | บุหรงซีงอ |   | ซึ่ง | ชาว | มลายู | เชื่อ | กัน | ว่า |   | นอกจาก | พัด | จะ | นำ | ความร่มเย็น | มาสู่ | ตัว | แล้ว | ยัง | สามารถ | ขจัด | ปัดเป่า | ทุกข์ | โศก | โรค | ภัย | ให้ | พ้น | ออกจาก | ตัว |   | เสียง | ของ | พัดเรนัง | ที่ | ดัง | เป็น | เอกลักษณ์ |   | เชื่อ | ว่า | จะ | สามารถ | ขับไล่ | สิ่งชั่วร้าย | ให้ | ออก | ไป |   | ประกอบ | กับ | ลีลา | การ | ใช้ | พัด | ใน | รูปแบบ | ต่างๆ | ที่ | น่าสนใจ"
"3","จตุรภาคี","เป็น | การแสดง | ที่ | นำ | ศิลปะการแสดง | ทั้ง | สี่ภาค | ของ | ประเทศไทย | มา | แสดง | ติดต่อ | อยู่ | ใน | ชุด | เดียวกัน |   | เริ่ม | ด้วย | ฟ้อน | ที่ | เป็น | ศิลปะ | ของ | ภาคเหนือ |   | รำ | เถิดเทิง | ของ | ภาคกลาง |   | ตารีกีปัส | ของ | ภาคใต้ |   | และ | ลำ | เพลิน | ของ | ภาคตะวันออกเฉียงเหนือ |   | นับ | เป็น | การแสดง | ที่ | น่าชม | อย่างยิ่ง"
"4","เจ้าพระยานที","เป็น | การแสดง | ที่ | ได้ | แนวคิด | มาจาก | แม่น้ำ | เจ้าพระยา |   | แม่น้ำ | สาย | หลัก | ที่ | สำคัญ | ของ | ไทย |   | เกิด | จาก | การ | รวมตัว | ของ | แม่น้ำ |   | ปิง |   | วัง |   | ยม |   | น่าน |   | ถือเป็น | สายน้ำ | แห่งชาติ | ที่ | หล่อเลี้ยง | ผู้ | คน | ใน | แผ่นดิน |   | มี | เรื่องราว | วิถีชีวิต | สอง | ริม | ฝั่งน้ำ |   | หล่อหลอม | เป็น | มรดกวัฒนธรรม | ที่ | สืบทอด | มา | ยาวนาน |   | ผ่าน | ประวัติศาสตร์ | และ | ขนบธรรมเนียมประเพณี | จาก | รุ่น | สู่ | รุ่น |   | แผ่อิทธิพล | ความงาม | และ | เรื่องราว | ของ | สายน้ำ | เป็น | ที่ | กล่าวขาน | รู้จัก | นาม |   | แม่น้ำ | เจ้าพระยา |   | สู่ | นานา | ประเทศ |   | ด้วย | ความสำนึก | รัก | ศรัทธา |   | กตัญญู |   | อันเป็น | คุณูปการ | และ | เพื่อ | เชิดชู | สายน้ำ | แห่ง | วัฒนธรรม |   | สายน้ำ | แห่ง | ความงดงาม | ของ | ชาติ"
"5","ชาติพันธุ์สราญ","เป็น | การแสดง | ที่ | สร้างสรรค์ | ขึ้น | จาก | ความสำคัญ | ของ | กลุ่มชาติพันธุ์ | ใน | จังหวัด | นครปฐม | ทั้งหมด |   | 5 |   | กลุ่มชาติพันธุ์ |   | ประกอบด้วย |   | 1 | ) |   | ชาติพันธุ์ | ลาวครั่ง |   | 2 | ) |   | ชาติพันธุ์ | ไทยทรงดำ |   | 3 | ) |   | ชาติพันธุ์ | ลาวเวียง |   | 4 | ) |   | ชาติพันธุ์ | ไทยรามัญ |   | 5 | ) |   | ชาติพันธุ์ | ไทยจีน |   | สู่ | การ | สร้างสรรค์ | นวัตกรรม | ศิลปะการแสดง |   | โดย | การแสดง | สื่อ | ถึง | ความหลากหลาย | ของ | กลุ่มชาติพันธุ์ |   | วัฒนธรรม |   | ประเพณี | และ | วิถีชีวิต | ที่ | หลากหลาย | ของ | กลุ่มชาติพันธุ์ | ใน | จังหวัด | นครปฐม |   | ตลอดจน | ความสุข |   | สนุกสนาน | รื่นเริง | ใน | การหลอมรวม | เป็น | อันหนึ่งอันเดียว | ภายใต้ | ร่มพระบารมี"
"6","ชาวดอย","เป็น | การแสดง | ที่ | มี | แนวคิด | มาจาก | การดำรงชีวิต | ของ | กลุ่มชน | ที่ | อาศัย | อยู่ | ทาง | ภาคเหนือ | ของ | ประเทศไทย |   | มุ่งเน้น | วิถีชีวิต | ที่ | มี | ความเรียบง่าย |   | ผูกพัน | พึ่งพา | ธรรมชาติ |   | ประกอบอาชีพ | เกษตรกรรม |   | รวมทั้ง | มี | การละเล่น | ที่ | สนุกสนาน | ตาม | แบบ | พื้นบ้าน | สืบทอด | จาก | รุ่น | สู่ | รุ่น"
"7","ตะกล้อล้อท่า","เป็น | การแสดง | ที่ | ได้ | แนวคิด | มาจาก | กีฬา | ตะกร้อ |   | ซึ่ง | เป็น | การละเล่น | ของ | ไทย | แต่ | โบราณ |   | โดย | เริ่มต้น | จาก | การ | เล่น | กัน | ใน | หมู่ | ชาวบ้าน | สู่ | การ | เล่น | เป็น | กีฬา | สากล | ระดับชาติ | และ | นานาชาติ |   | ลีลา | และ | กระบวนท่ารำ | สื่อ | ให้ | เห็น | ถึง | แม่ท่า | ใน | กีฬา | ตะกร้อ |   | ประกอบด้วย |   | การ | ใช้ | ศีรษะ |   | ศอก |   | เข่า |   | เท้า |   | ใน | การ | บังคับ | ลูก | ตะกร้อ | ไม่ | ให้ | ตก | พื้น |   | การ | กระโดด | ตีลังกา | ผสมผสาน | ลีลา | ท่าทาง | นาฏศิลป์ไทย"
"8","นบนที","เป็น | การแสดง | ที่ | กล่าวถึง | ประเพณี | ลอยกระทง | ซึ่ง | ถือเป็น | การแสดง | ความเคารพ | และ | ขอขมา | อภัย | ต่อ | พระแม่คงคา |   | อีก | ทั้ง | สิ่งศักดิ์สิทธิ์ | ใน | สายน้ำ | ที่ | สร้าง | คุณประโยชน์ | ต่อ | มนุษย์ | ทุก | ชีวิต |   | ซึ่ง | คนไทย | ได้ | ให้ความสำคัญ | และ | สำนึก | ใน | พระคุณ | ของ | ธรรมชาติ | ที่ | สะท้อน | ผ่าน | ความเชื่อ | และ | ความศรัทธา | จน | กลายเป็น | ประเพณี | ลอยกระทง"
"9","นักษัตร","เป็น | การแสดง | ที่ | ได้ | แนวความคิด | มาจาก | เทพ |   | 12 |   | ปี | นักษัตร | ของ | ไทย | ที่ | มี | ความเชื่อ | ว่า | เป็น | เทพ | ที่ | มี | หน้าที่ | ปกป้อง | คุ้มครอง | มนุษย์ |   | กระบวนท่ารำ | มี | ความงดงาม | ตาม | รูปแบบ | นาฏศิลป์ไทย |   | ผสมผสาน | การเคลื่อนไหว | ร่างกาย | และ | การ | เคลื่อนที่ | บน | เวที | อย่าง | หลากหลาย"
"10","นาฏ ณ วัง","เป็น | การแสดง | ที่ | ได้ | แนวคิด | มาจาก | ความสำคัญ | ของ | พระราชวังบวรสถานมงคล |   | ( | วังหน้า | ) |   | ที่ | ปรากฏ | นาฏกรรม | หลากหลาย | ประเภท |   | ประกอบด้วย |   | โขน |   | ละคร |   | หนังใหญ่ |   | หุ่น |   | งิ้ว |   | แอ่วแคน |   | สู่ | การ | สร้างสรรค์ | งาน | นาฏศิลป์ไทย |   | ผสมผสาน | การ | ออกแบบ | การเคลื่อนไหว | ร่างกาย | และ | การ | ใช้ | พื้นที่ | เวที | ที่ | มี | ความหลากหลาย |   | ถ่ายทอด | ความงาม | แบบ | ราชสำนัก | ที่ | มี | ความวิจิตร |   | ย้อน | รำลึก | คุณูปการ | ของ | บุคคล | และ | สถานที่ | ที่ | มี | ต่อ | การอนุรักษ์ |   | สู่ | ความภาคภูมิใจ | ใน | มรดกวัฒนธรรม | ของ | แผ่นดิน"
"11","นาฏยมวยไทย","เป็น | การแสดง | ที่ | ได้ | แนวคิด | มาจาก | ศิลปะป้องกันตัว |   | มวยโบราณ | ของ | ไทย | ที่ | มี | มา | แต่ | อดีต |   | มา | สร้างสรรค์ | ใน | รูปแบบ | ของ | การแสดง | ที่ | สื่อ | ถึง | ลีลา | ท่า | มวย |   | อันเป็น | ภูมิปัญญา | ของ | บรรพบุรุษ |   | ใช้ | หลัก | ท่า | เต้น | ของ | โขน |   | และ | ท่า | รำ | แบบ | นาฏศิลป์ | ผสมผสาน | กัน | อย่าง | ลงตัว"
