item,gold_tokens,predicted_tokens,TP,FP,FN,FP_words,FN_words
กรุงเทพ,"กระบวนท่ารำ, กรุงเทพมหานคร, กินเนสส์บุ๊ค, นางฟ้า, วาดภาพ, หนังใหญ่, เทวดา","กระบวนท่ารำ, กรุงเทพมหานคร, การรบ, กินเนสส์บุ๊ค, นนทก, นางฟ้า, บิดา, วาดภาพ, วานร, สีน้ำเงิน, สีแดง, หนังใหญ่, ออกรบ, เทวดา, แหล่งน้ำ",7,8,0,"การรบ, นนทก, บิดา, วานร, สีน้ำเงิน, สีแดง, ออกรบ, แหล่งน้ำ",
กีปัสเรนัง,"ขบวนแห่, ขับไล่, บุหรงซีงอ, ปัดเป่า, ปัตตานี, พัดเรนัง, ภาคใต้, มลายู, สิ่งชั่วร้าย","ขบวนแห่, ขับไล่, จารีตประเพณี, ตารี, ธงไทย, บิดา, บุหรงซีงอ, ปัดเป่า, ปัตตานี, ฝากตัว, พัดเรนัง, ภาคใต้, มลายู, ร่มเย็น, วานร, สิ่งชั่วร้าย, สีน้ำเงิน, สีแดง, ไทยทรงดำ",9,10,0,"จารีตประเพณี, ตารี, ธงไทย, บิดา, ฝากตัว, ร่มเย็น, วานร, สีน้ำเงิน, สีแดง, ไทยทรงดำ",
จตุรภาคี,"ตารีกีปัส, ภาคเหนือ, ภาคใต้, สี่ภาค, เถิดเทิง","กะลา, ชาวเหนือ, ตารี, ตารีกีปัส, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาคใต้, สีแดง, สี่ภาค, เถิดเทิง, แหล่งน้ำ",5,7,0,"กะลา, ชาวเหนือ, ตารี, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, สีแดง, แหล่งน้ำ",
เจ้าพระยานที,"ความสำนึก, ฝั่งน้ำ, สืบทอด, หล่อหลอม, หล่อเลี้ยง, เจ้าพระยา","กะลา, การรบ, ความสำนึก, ชาวนา, ธงไทย, บิดา, ฝั่งน้ำ, พระยา, พระลาน, พระเพื่อน, มรกต, วานร, สำนึก, สีน้ำเงิน, สีแดง, สืบทอด, หล่อหลอม, หล่อเลี้ยง, อสูร, อาสา, เจ้าพระยา, แหล่งน้ำ",6,16,0,"กะลา, การรบ, ชาวนา, ธงไทย, บิดา, พระยา, พระลาน, พระเพื่อน, มรกต, วานร, สำนึก, สีน้ำเงิน, สีแดง, อสูร, อาสา, แหล่งน้ำ",
ชาติพันธุ์สราญ,"การหลอมรวม, ชาติพันธุ์, นครปฐม, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, อันหนึ่งอันเดียว, ไทยจีน, ไทยทรงดำ, ไทยรามัญ","กะลา, การรบ, การหลอมรวม, งานรื่นเริง, ชาติพันธุ์, ตารี, นครปฐม, นางรื่น, พระยา, พระสวามี, ภาคใต้, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, วานร, สังสรรค์, สีน้ำเงิน, สีแดง, อันหนึ่งอันเดียว, อินเดีย, ไทยจีน, ไทยทรงดำ, ไทยรามัญ",10,13,0,"กะลา, การรบ, งานรื่นเริง, ตารี, นางรื่น, พระยา, พระสวามี, ภาคใต้, วานร, สังสรรค์, สีน้ำเงิน, สีแดง, อินเดีย",
ชาวดอย,"ผูกพัน, ภาคเหนือ, สืบทอด, เกษตรกรรม","การประกอบอาชีพ, จิตรกรรม, ชาวนา, ชาวเหนือ, ทะเล, บิดา, ผูกพัน, ภาคเหนือ, มารดา, สีน้ำเงิน, สีแดง, สืบทอด, อสูร, เกษตรกรรม, แหล่งน้ำ",4,11,0,"การประกอบอาชีพ, จิตรกรรม, ชาวนา, ชาวเหนือ, ทะเล, บิดา, มารดา, สีน้ำเงิน, สีแดง, อสูร, แหล่งน้ำ",
ตะกล้อล้อท่า,"กระบวนท่ารำ, ชาวบ้าน, ตะกร้อ, ตีลังกา, ท่าทาง, นานาชาติ, ศีรษะ, แม่ท่า","กระบวนท่ารำ, การรบ, ความคล่องแคล่ว, ความว่องไว, ชาวบ้าน, ตะกร้อ, ตีลังกา, ต่อสู้, ทะเล, ท่าทาง, ธงไทย, นางใน, นานาชาติ, บิดา, พาลี, ฟาดฟัน, มโนราห์, ศิลปะป้องกันตัว, ศีรษะ, สะล้อ, สีน้ำเงิน, สีแดง, องคต, อสูร, อาสา, แม่ท่า, แม่บท, แหล่งน้ำ, ใบชา, ไทยทรงดำ",8,22,0,"การรบ, ความคล่องแคล่ว, ความว่องไว, ต่อสู้, ทะเล, ธงไทย, นางใน, บิดา, พาลี, ฟาดฟัน, มโนราห์, ศิลปะป้องกันตัว, สะล้อ, สีน้ำเงิน, สีแดง, องคต, อสูร, อาสา, แม่บท, แหล่งน้ำ, ใบชา, ไทยทรงดำ",
นบนที,"ขอขมา, พระแม่คงคา, ลอยกระทง, สำนึก, สิ่งศักดิ์สิทธิ์","กระทุ้ง, กะลา, ขอขมา, นนทก, พระแม่คงคา, ลอยกระทง, สะล้อ, สิ่งศักดิ์สิทธิ์, สีน้ำเงิน, สีแดง, ไทยทรงดำ",4,7,1,"กระทุ้ง, กะลา, นนทก, สะล้อ, สีน้ำเงิน, สีแดง, ไทยทรงดำ",สำนึก
นักษัตร,"กระบวนท่ารำ, นักษัตร, ปกป้อง","กระบวนท่ารำ, กะลา, ตารี, ธงไทย, นักษัตร, บิดา, ปกป้อง, มลายู, สีน้ำเงิน, สีแดง, องคต, แหล่งน้ำ",3,9,0,"กะลา, ตารี, ธงไทย, บิดา, มลายู, สีน้ำเงิน, สีแดง, องคต, แหล่งน้ำ",
นาฏ ณ วัง,"ความภาคภูมิใจ, นาฏกรรม, ราชสำนัก, รำลึก, วังหน้า, หนังใหญ่","กะลา, การรบ, ความภาคภูมิใจ, นาฏกรรม, บิดา, พระยา, พระราชวังบวรสถานมงคล, พระราม, มรกต, มโนราห์, ราชสำนัก, วังหน้า, สังสรรค์, สีน้ำเงิน, สีแดง, หนังใหญ่, ออกรบ, แหล่งน้ำ",5,13,1,"กะลา, การรบ, บิดา, พระยา, พระราชวังบวรสถานมงคล, พระราม, มรกต, มโนราห์, สังสรรค์, สีน้ำเงิน, สีแดง, ออกรบ, แหล่งน้ำ",รำลึก
