word,cluster_label,cluster_size
เพลงกลม,1,223
โบราณวัตถุ,1,223
องค์ปะตาระกาหลา,0,265
โลดโผน,3,214
สมัยศรีวิชัย,0,265
เพลงงามแสงเดือน,3,214
ชาวเขา,0,265
จีนรำพัด,0,265
ไส้กะลา,0,265
หล่อสำริด,2,198
ฮินดู,1,223
รับอาสา,1,223
อสูร,2,198
เพทาย,3,214
สังข์ทอง,0,265
เทพบุตร,0,265
จิตรกรรม,1,223
ทับหลัง,0,265
ทศกัณฐ์,0,265
เพลงดวงจันทร์ขวัญฟ้า,2,198
หอกโมกขศักดิ์,2,198
รูปทอง,0,265
พระจันทร์,0,265
นางสีดา,0,265
พระลาน,0,265
อัญมณี,2,198
ข้าศึก,0,265
เจ้าดารารัศมี,0,265
พระราชวังบวรสถานมงคล,0,265
สมมุติเทพ,0,265
กิริยาอาการ,2,198
ช่อดอกไม้,3,214
พระบรมราชชนนีพับปีหลวง,0,265
นายแก้ว,0,265
พระลอ,0,265
พระนารายณ์,0,265
ทิพยวิมาน,0,265
อุปสรรค,1,223
ลาวครั่ง,0,265
อินทรชิต,1,223
ดินดาล,0,265
ขนเพชร,3,214
จับระบำ,1,223
พระราม,2,198
การุณราช,0,265
พุทธศตวรรษ,3,214
แสงจันทร์,0,265
เทือกเขาภูพาน,0,265
แม่ฮ่องสอน,1,223
ทับทิม,0,265
หมากกั๊บแก๊บ,2,198
ภาชนะดินเผา,1,223
สิบแปดมงกุฎ,0,265
ไม้สั้น,0,265
ศุภลักษณ์,1,223
แควน้อย,1,223
พระคเณศ,1,223
พญาทูษณ์,1,223
พระแม่คงคา,0,265
กระทบไม้,3,214
มเหสี,2,198
เพลงชาวไทย,1,223
ตารีกีปัส,2,198
ทัพหน้า,0,265
ฟาดฟัน,2,198
จารีตประเพณี,1,223
การตีกลอง,0,265
นางรื่น,1,223
ย่านาง,0,265
ช้างเอราวัณ,2,198
สมรภูมิ,3,214
เมืองชมพู,0,265
กองไฟ,3,214
ปราสาทพนมรุ้ง,2,198
พระพรหม,0,265
พลลิง,0,265
ไพฑูรย์,2,198
วานรินทร์,0,265
พระนิพนธ์,1,223
พละกำลัง,1,223
งดงาม,1,223
หน่อไม้,0,265
ท้าวลัสเตียน,3,214
เขี้ยวแก้ว,0,265
ข้าวเหนียว,2,198
สระอโนดาต,2,198
สุพรรณมัจฉา,2,198
พัดเรนัง,2,198
นางฟ้า,2,198
หลักราชการ,0,265
เกราะลอ,1,223
ขัดตาทัพ,2,198
ถอยทัพ,2,198
วิชนี,0,265
จำกาย,0,265
อินโดนีเซีย,0,265
ปิดหน้า,0,265
ลูกไม้,0,265
การเก็บใบชา,0,265
กวางทอง,0,265
ปราสาทเมืองสิงห์,2,198
ปราสาทหินพิมาย,0,265
การเกี้ยวพาราสี,1,223
ไทยบรมพิมาน,2,198
ต้นไม้,0,265
ไม้ยาว,0,265
วานร,1,223
พญาผานอง,0,265
ทิศตะวันออก,0,265
