Main Label,Sub Label,Sub Group,Words
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,มรดกและสัญลักษณ์ประจำชาติ,ธรรมเนียมและเครื่องยศ,"ฉลองพระองค์, ทับหลัง, พระเมรุ, วิชนี, หน้าบัน, ไทยจักรพรรดิ์, ไทยจักรี, ไทยจิตรลดา, ไทยบรมพิมาน, ไทยศิวาลัย"
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,มรดกและสัญลักษณ์ประจำชาติ,มรดกทางวัฒนธรรม,"กรมศิลปากร, กินเนสส์บุ๊ค, จารึก, จิตรกรรม, ตำรา, ธงไทย, ปูนปั้น, พระนิพนธ์, ภาพจำหลัก, ภาพจิตรกรรมฝาผนัง, มรดกภูมิปัญญาทางวัฒนธรรม, ยูเนสโก, ลิลิตพระลอ, ศิลปินแห่งชาติ, หลักฐาน, โบราณวัตถุ"
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,ร่องรอยและยุคสมัย,ยุคสมัยและอาณาจักร,"กรุงรัตนโกสินทร์, พุทธศตวรรษ, ล้านนา, สมัยทวารวดี, สมัยลพบุรี, สมัยศรีวิชัย, สมัยสุโขทัย, สมัยโบราณ, อารยธรรม"
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,ร่องรอยและยุคสมัย,เมืองและโบราณสถาน,"กรุงเทพมหานคร, กาญจนบุรี, กาฬสินธุ์, ชุมพร, นครปฐม, นครพนม, นครราชสีมา, นครศรีธรรมราช, บุรีรัมย์, ปราสาทพนมรุ้ง, ปราสาทพระขรรค์, ปราสาทหินพิมาย, ปราสาทเมืองสิงห์, ปัตตานี, พระตำหนัก, พระราชวังบวรสถานมงคล, พระลาน, พระอุโบสถ, พลับพลา, สกลนคร, สุรินทร์, อยุธยา, เชียงใหม่, แม่ฮ่องสอน, โบราณสถาน"
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,สถาบันและบุคคลสำคัญ,พระมหากษัตริย์และราชวงศ์,"ผู้ครองนคร, พระญาติ, พระบรมราชชนนีพับปีหลวง, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, พระมหากษัตริย์, พระเจ้าชัยวรมัน, พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์, เจ้าดารารัศมี, โอรส"
ประวัติศาสตร์ ราชสำนัก และมรดกชาติ,สถาบันและบุคคลสำคัญ,ราชสำนักและขุนนาง,"ข้าหลวง, ดำรงตำแหน่ง, นางใน, พระชายา, พระพี่เลี้ยง, พระยา, ราชสำนัก, วังหน้า, หลักราชการ, อาณาประชาราษฎร์, อุปราช, เจ้าพระยา"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,กษัตริย์และตัวละครหลัก,"การุณราช, ขุนช้าง, ขุนแผน, ท้าวพิชัยพิษณุกร, นายแก้ว, พญาผานอง, พระราม, พระลอ, พระลักษมณ์, พระสวามี, พระสังข์, พระเพื่อน, พระไวย, พลายชุมพล, มณีพิชัย, สังข์ทอง, อิเหนา, อุณรุท, เจ้าเงาะ, เจ้าเมือง, เชษฐา"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,ตัวละครฝ่ายหญิงและบริวาร,"นางพญาคำปิน, นางรื่น, นางสวาหะ, นางสีดา, นางโรย, บริวาร, ผู้หญิง, พระแพง, มเหสี, ยอพระกลิ่น, ย่านาง, รจนา, วันทอง, ศุภลักษณ์, สุพรรณมัจฉา, หญิงสาว, อุษา, เจ้าหญิง, เบญกาย"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,ยักษ์และอสูร,"กากนาสูร, กาลสูร, กุมภกรรณ, ทศกัณฐ์, ท้าวลัสเตียน, ท้าวสัทธาสูร, นนทก, พญาขร, พญาทูษณ์, พิเภก, มังกรกัณฐ์, มัยราพณ์, มารีศ, ยักษิณี, รามสูร, รุทการ, วิรุญจำบัง, วิรุญมุข, ศูรปนขา, สัทธาสูร, สำมนักขา, อสูร, อินทรชิต"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,วานรและทหารเอก,"ชามพูวราช, ทหารเอก, นิลพาหุ, พลลิง, พาลี, วานร, วานรินทร์, สิบแปดมงกุฎ, สุครีพ, หนุมาน, องคต, ไพร่พล"
วรรณกรรม ตัวละคร และโลกในตำนาน,ตัวละครและอมนุษย์,เทพ เทวดา และสิ่งศักดิ์สิทธิ์,"กินรี, ช้างเอราวัณ, นางฟ้า, นางอัปสราบายน, ปรศุราม, ปารวตี, ผีภู, พระคเณศ, พระนารายณ์, พระพรหม, พระพาย, พระศิวะ, พระอินทร์, พระอิศวร, พระอุมา, พระแม่คงคา, ฤาษี, สมมุติเทพ, องค์ปะตาระกาหลา, อวตาร, เทพธิดา, เทพบุตร, เทพเจ้า, เทวดา, เมขลา"
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,การเดินทางและสถานที่,"กรุงลงกา, กลางอากาศ, การเดินทาง, ขีดขิน, ขี่ม้า, ดาวดึงส์, ดินดาล, ทิพยวิมาน, บินหนี, ภาคเหนือ, ภาคใต้, สระอโนดาต, สุทธาวาส, หลบหนี, เขาสัตภัณฑ์, เขาอังกาศ, เขาไกรลาส, เขาไกลลาศ, เดินอากาศ, เมืองขีดขิน, เมืองชมพู, แมนสรวง"
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,ฉากและเหตุการณ์สำคัญ,"กองไฟ, การขึ้นลอย, การเกี้ยวพาราสี, การให้กำเนิด, คำบอกเล่า, จองถนน, จับนาง, จุดไฟ, ชุมนุม, ตำนาน, มูลเหตุ, ยั่วเย้า, รังควาญ, รับอาสา, ลอยน้ำ, สิ้นชีวิต, หยอกล้อ, อินทราภิเษก, อุปสรรค, เทพนิยาย, เรื่องใหญ่, โอดิสสี, ไฟไหม้"
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,สงครามและการต่อสู้,"กองทัพ, การรบ, การศึก, ขัดตาทัพ, ขับไล่, ข้าศึก, จัดทัพ, ตัวต่อตัว, ต่อสู้, ถอยทัพ, ทัพหน้า, ปกป้อง, ประชิดตัว, ปราชัย, ฟาดฟัน, สงคราม, สมรภูมิ, สังหาร, ออกรบ, เอาชนะ, แก้แค้น, แตกทัพ"
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,อาวุธและของวิเศษ,"กวางทอง, ขนเพชร, ข่ายเพชร, ข่ายเหล็ก, ดวงแก้ว, นิ้วเพชร, พรหมาสตร์, ศรนาคบาศ, ศรพาลจันทร์, หอกโมกขศักดิ์, เกราะลอ, เขี้ยวแก้ว, แว่นแก้วสุรกานต์, ไม้ยาว"
วรรณกรรม ตัวละคร และโลกในตำนาน,เหตุการณ์และกลวิธีในเรื่องเล่า,เวทมนตร์และอุบาย,"กลยุทธ, การแปร, จำกาย, ชั้นเชิง, ทำนาย, ปัดเป่า, หลงกล, หายตัว, อิทธิฤทธิ์, อุบาย, แปลงกาย, ให้ร้าย"
ศิลปะการแสดงและมหรสพ,ท่วงท่าและดนตรี,ลีลาและการเคลื่อนไหว,"กระทบไม้, กระทุ้ง, กระบวนท่ารำ, การดีด, การตีกลอง, กิริยาอาการ, ความคล่องแคล่ว, ความว่องไว, ตีลังกา, ท่าทาง, ปางลีลา, ปิดหน้า, ฝ่ามือ, รำคู่, เชิงมวย, แม่บท, แม่ไม้มวย, โลดโผน"
ศิลปะการแสดงและมหรสพ,ท่วงท่าและดนตรี,เครื่องดนตรีและอุปกรณ์ประกอบ,"กรับพวง, กลองยาว, กลองสะบัดชัย, ตะเขิ่ง, พัดเรนัง, รัวฉิ่ง, สะล้อ, หางนกยูง, เครื่องดนตรี, เครื่องดนตรีตะวันตก, เครื่องดนตรีพื้นบ้าน, เครื่องประกอบจังหวะ, โปงลาง, ไม้สั้น"
