word,cluster_label,cluster_size
เจ้าหญิง,1,223
เชษฐา,1,223
อินทราภิเษก,3,214
จับนาง,3,214
ขุนช้าง,3,214
รื่นเริง,1,223
หลักฐาน,3,214
ขนบธรรมเนียมประเพณี,0,265
ศรนาคบาศ,3,214
รู้คุณค่า,3,214
อุบาย,3,214
มรดกภูมิปัญญาทางวัฒนธรรม,2,198
ตารีบุหงา,3,214
นิมิต,3,214
ปรศุราม,3,214
เครื่องแบบ,0,265
เครื่องมือ,0,265
เพลงกลม,1,223
สีทอง,2,198
ร้อนแรง,1,223
ปราชัย,1,223
อาณาจักร,2,198
นครพนม,3,214
พิธีกรรม,3,214
หญิงสาว,1,223
ศิลปะป้องกันตัว,1,223
นักษัตร,0,265
ชุมนุม,2,198
ความว่องไว,0,265
สี่ภาค,0,265
พระพุทธรูป,0,265
สุรินทร์,2,198
ภูเขา,0,265
วาดภาพ,3,214
เพลงรำซิมารำ,0,265
เชื้อชาติ,0,265
สร้างสรรค์,1,223
ฝั่งน้ำ,0,265
ความเคารพ,3,214
โบราณวัตถุ,1,223
มโนราห์,1,223
องค์ปะตาระกาหลา,0,265
สมัยศรีวิชัย,0,265
สายสืบ,2,198
เพลงงามแสงเดือน,3,214
ขับไล่,2,198
จีนรำพัด,0,265
สวามี,3,214
รูปแบบ,0,265
ไทยจิตรลดา,1,223
เถิดเทิง,2,198
อนุชา,1,223
ตัวต่อตัว,0,265
อาชีพ,2,198
อิเหนา,2,198
แต่งกายยืนเครื่องพระ,1,223
พลับพลา,0,265
ผีภู,3,214
สุครีพ,1,223
หลงใหล,3,214
ความมีน้ำใจ,3,214
ไหว้ครู,0,265
พระเจ้าบรมวงศ์เธอกรมพระนราธิปประพันธ์พงศ์,0,265
สมัยลพบุรี,0,265
เกียรติยศ,3,214
ความสำคัญ,1,223
การศึก,0,265
ศิลปวัฒนธรรม,0,265
ต้นรัง,0,265
สำเภา,3,214
กลองยาว,0,265
นายขวัญ,0,265
