word,cluster_label,stopword_type,reason
เครื่องมือ,0,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปที่ใช้ในหลายบริบท ไม่เฉพาะเจาะจง
เครื่องแบบ,0,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปที่ใช้ครอบคลุมหลายประเภท ขาดความเฉพาะ
ขนบธรรมเนียมประเพณี,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำหลักในโดเมนวัฒนธรรม พบบ่อยจนไม่ช่วยแยกความหมาย
รื่นเริง,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงอารมณ์หรือคุณค่าทางความรู้สึก
ร้อนแรง,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),ใช้ประเมินลักษณะการแสดง ไม่เฉพาะเจาะจง
เจ้าหญิง,1,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),พ้องกับบทบาทในละคร/การแสดง ซ้ำซ้อนกับบริบทตัวละคร
เชษฐา,1,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),ชื่อบุคคลเฉพาะ แต่ในกลุ่มนี้ไม่เด่น ซ้ำซ้อนในแง่บทบาท
สีทอง,2,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),ใช้สื่อคุณค่าหรือสัญลักษณ์ในวัฒนธรรม ไม่เฉพาะเจาะจง
มรดกภูมิปัญญาทางวัฒนธรรม,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำเฉพาะโดเมนที่ใช้บ่อยและกว้างในงานวัฒนธรรม
หลักฐาน,3,คำที่มีความหมายกว้าง (Umbrella Terms),คำทั่วไปในเชิงข้อมูลหรือการอ้างอิง
รู้คุณค่า,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงทัศนคติหรือการประเมินค่า
อุบาย,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แนวคิดนามธรรมในเรื่องกลยุทธ์หรือจิตวิทยา
