word,cluster_label,stopword_type,reason
ขนบธรรมเนียมประเพณี,0,คำที่มีความหมายกว้าง (Umbrella Terms),หมวดหมู่กว้าง ครอบคลุมหลายกิจกรรม
เครื่องแบบ,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามทั่วไป หมายถึงชุดแต่งกายโดยรวม
เครื่องมือ,0,คำที่มีความหมายกว้าง (Umbrella Terms),คำกว้าง หมายถึงอุปกรณ์ทุกชนิด
นักษัตร,0,คำที่มีความหมายกว้าง (Umbrella Terms),หมวดหมู่กว้าง ใช้เรียกกลุ่มปีเกิด
ความว่องไว,0,คำที่มีความหมายกว้าง (Umbrella Terms),นามธรรมกว้าง ไม่ชี้เฉพาะ
สี่ภาค,0,คำที่มีความหมายกว้าง (Umbrella Terms),หมวดหมู่กว้าง แบ่งภูมิภาคโดยรวม
รื่นเริง,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความรู้สึก/บรรยากาศ
ร้อนแรง,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงอารมณ์/ความรู้สึก
ปราชัย,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),นามธรรม แสดงผลลัพธ์/สถานะ
ศิลปะป้องกันตัว,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำเฉพาะในโดเมนศิลปะ/การแสดง
อาณาจักร,2,คำที่มีความหมายกว้าง (Umbrella Terms),หมวดหมู่กว้าง ใช้เรียกกลุ่มรัฐ/ดินแดน
มรดกภูมิปัญญาทางวัฒนธรรม,2,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำเฉพาะโดเมน พบถี่ในงานวัฒนธรรม
หลักฐาน,3,คำที่มีความหมายกว้าง (Umbrella Terms),หมวดหมู่กว้าง ใช้ได้หลายบริบท
รู้คุณค่า,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),นามธรรม แสดงการประเมินค่า
นิมิต,3,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),นามธรรม หมายถึงสิ่งที่เกิดขึ้นในจินตนาการ
พิธีกรรม,3,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำเฉพาะโดเมน พบถี่ในงานศิลปวัฒนธรรม
ภูเขา,0,คำที่มีความหมายกว้าง (Umbrella Terms),หมวดหมู่สถานที่ธรรมชาติ กว้าง ไม่ชี้เฉพาะ
เชื้อชาติ,0,คำที่มีความหมายกว้าง (Umbrella Terms),หมวดหมู่ประชากร กว้าง ใช้ได้หลายบริบท
ฝั่งน้ำ,0,คำที่มีความหมายกว้าง (Umbrella Terms),หมวดหมู่สถานที่ธรรมชาติ กว้าง
การละเล่น,0,คำที่มีความหมายกว้าง (Umbrella Terms),หมวดหมู่กิจกรรม กว้าง
ชาวเขา,0,คำที่มีความหมายกว้าง (Umbrella Terms),หมวดหมู่บุคคล กว้าง
พระพุทธรูป,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำโดเมนศิลปวัฒนธรรมไทย พบถี่
เพลงรำซิมารำ,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ชื่อการแสดงพื้นบ้าน พบถี่ในโดเมน
พระราชพิธี,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำโดเมนประเพณีไทย พบถี่
จีนรำพัด,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ชื่อการแสดงพื้นบ้าน พบถี่ในโดเมน
สมัยศรีวิชัย,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำโดเมนประวัติศาสตร์ไทย พบถี่
องค์ปะตาระกาหลา,0,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ชื่อเฉพาะในโดเมน พบถี่
สร้างสรรค์,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แนวคิดนามธรรมเกี่ยวกับความคิดสร้างสรรค์
ความประทับใจ,1,คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms),แสดงความรู้สึก/คุณค่า
โบราณวัตถุ,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำโดเมนศิลปวัฒนธรรม พบถี่
มโนราห์,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),ชื่อการแสดงพื้นบ้าน พบถี่ในโดเมน
ศิลปหัตถกรรม,1,คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse),คำโดเมนศิลปวัฒนธรรม พบถี่
สุรินทร์,2,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),ชื่อจังหวัดไทย พบซ้ำในข้อมูลโดเมน
สายสืบ,2,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),ความหมายใกล้เคียงกับบุคคล/บทบาทในเรื่องราว
ขับไล่,2,คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym),ความหมายใกล้เคียงกับการขับออก/ผลักดัน
