word,cluster_label,stopword_type,reason
ลักษณะ,0,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ใช้เป็นหมวดหมู่
รูปแบบ,0,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ใช้ได้หลายบริบท
เครื่องมือ,0,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ไม่ชี้เฉพาะเจาะจง
เครื่องแบบ,0,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ใช้เป็นหมวดหมู่
ภาษา,0,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ไม่ชี้เฉพาะเจาะจง
ภูมิภาค,0,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ใช้เป็นหมวดหมู่สถานที่
ขั้นตอน,0,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ใช้ได้หลายบริบท
ร่างกาย,0,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ไม่ชี้เฉพาะเจาะจง
ประวัติศาสตร์,0,**คำที่มีความหมายกว้าง (Umbrella Terms):**,คำที่มีความหมายกว้างมาก
อาหาร,0,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ใช้เป็นหมวดหมู่
ความหลากหลาย,0,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
ความเชื่อ,0,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิด ความเชื่อ
ความศรัทธา,0,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงความรู้สึก ความเชื่อ
ความนิยม,0,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงประเมินค่า
อ่อนช้อย,0,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงคุณค่า/ความคิดเห็น
ศักดิ์สิทธิ์,0,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงคุณค่า ความเชื่อ
วัฒนธรรม,0,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
ศิลปวัฒนธรรม,0,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
ประเพณี,0,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
ขนบธรรมเนียมประเพณี,0,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
การละเล่น,0,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
ฟ้อนรำ,0,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
ระบำ,0,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
ดนตรี,0,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
ศิลปะการแสดง,0,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
การแสดงพื้นเมือง,0,**คำเฉพาะโดเมนที่พบบ่อยเกินไป (Domain-Specific Overuse):**,คำพื้นฐานในโดเมน ทำให้จำแนกต่ำ
เครื่องดนตรีพื้นเมือง,0,**คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym):**,พบคำนี้ 2 ครั้งในกลุ่มข้อมูล
ขนบธรรมเนียมประเพณี,0,**คำซ้ำซ้อน หรือ คำพ้องความหมาย (Redundant or Synonym):**,ความหมายซ้ำซ้อนกับ `ประเพณี`
ประเทศ,1,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ใช้เป็นหมวดหมู่
สถานที่,1,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ไม่ชี้เฉพาะเจาะจง
รูปร่าง,1,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ใช้ได้หลายบริบท
พาหนะ,1,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ใช้เป็นหมวดหมู่
มนุษยชาติ,1,**คำที่มีความหมายกว้าง (Umbrella Terms):**,คำที่มีความหมายกว้างมาก
ดอกไม้,1,**คำที่มีความหมายกว้าง (Umbrella Terms):**,นามทั่วไป ไม่ชี้เฉพาะเจาะจง
ความสำคัญ,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงประเมินค่า
ความประทับใจ,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงความรู้สึก
ความงาม,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
ความสวยงาม,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
ความเข้มแข็ง,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
ความสัมพันธ์,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
ความตาย,1,**คำเชิงนามธรรม หรือ คำเชิงประเมินค่า (Abstract or Evaluative Terms):**,แสดงแนวคิดเชิงนามธรรม
